title,abstract,authors,year,venue,fields,domain
Tropical cyclones and climate change,"Recent research has strengthened the understanding of the links between climate and tropical cyclones (TCs) on various timescales. Geological records of past climates have shown century‐long variations in TC numbers. While no significant trends have been identified in the Atlantic since the late 19th century, significant observed trends in TC numbers and intensities have occurred in this basin over the past few decades, and trends in other basins are increasingly being identified. However, understanding of the causes of these trends is incomplete, and confidence in these trends continues to be hampered by a lack of consistent observations in some basins. A theoretical basis for maximum TC intensity appears now to be well established, but a climate theory of TC formation remains elusive. Climate models mostly continue to predict future decreases in global TC numbers, projected increases in the intensities of the strongest storms and increased rainfall rates. Sea level rise will likely contribute toward increased storm surge risk. Against the background of global climate change and sea level rise, it is important to carry out quantitative assessments on the potential risk of TC‐induced storm surge and flooding to densely populated cities and river deltas. Several climate models are now able to generate a good distribution of both TC numbers and intensities in the current climate. Inconsistent TC projection results emerge from modeling studies due to different downscaling methodologies and warming scenarios, inconsistencies in projected changes of large‐scale conditions, and differences in model physics and tracking algorithms. WIREs Clim Change 2016, 7:65–89. doi: 10.1002/wcc.371","Kevin J. e. Walsh, John L. McBride, P. Klotzbach, Sethurathinam Balachandran, Suzana J. Camargo, G. Holland, T. Knutson, J. Kossin, Tsz-cheung Lee, AdamH. Sobel, M. Sugi",2010.0,,"Environmental Science, Geography",Climate Change
Towards demand-side solutions for mitigating climate change,,"F. Creutzig, J. Roy, W. Lamb, I. Azevedo, W. Bruine de Bruin, H. Dalkmann, O. Edelenbosch, F. Geels, A. Grubler, C. Hepburn, E. Hertwich, Radhika Khosla, Linus Mattauch, J. Minx, A. Ramakrishnan, Narasimha D. Rao, J. Steinberger, M. Tavoni, D. Ürge-Vorsatz, E. Weber",2018.0,Nature Climate Change,,Climate Change
Changes in precipitation with climate change,"There is a direct influence of global warming on precipitation. Increased heating leads to greater evaporation and thus surface drying, thereby increasing the intensity and duration of drought. However, the water holding capacity of air increases by about 7% per 1°C warming, which leads to increased water vapor in the atmosphere. Hence, storms, whether individual thunderstorms, extratropical rain or snow storms, or tropical cyclones, supplied with increased moisture, produce more intense precipitation events. Such events are observed to be widely occurring, even where total precipitation is decreasing: 'it never rains but it pours!' This increases the risk of flooding. The atmo- spheric and surface energy budget plays a critical role in the hydrological cycle, and also in the slower rate of change that occurs in total precipitation than total column water vapor. With modest changes in winds, patterns of precipitation do not change much, but result in dry areas becoming drier (generally throughout the subtropics) and wet areas becoming wetter, especially in the mid- to high latitudes: the 'rich get richer and the poor get poorer'. This pattern is simulated by climate mod- els and is projected to continue into the future. Because, with warming, more precipitation occurs as rain instead of snow and snow melts earlier, there is increased runoff and risk of flooding in early spring, but increased risk of drought in summer, especially over continental areas. However, with more precipitation per unit of upward motion in the atmosphere, i.e. 'more bang for the buck', atmo- spheric circulation weakens, causing monsoons to falter. In the tropics and subtropics, precipitation patterns are dominated by shifts as sea surface temperatures change, with El Nino a good example. The volcanic eruption of Mount Pinatubo in 1991 led to an unprecedented drop in land precipitation and runoff, and to widespread drought, as precipitation shifted from land to oceans and evaporation faltered, providing lessons for possible geoengineering. Most models simulate precipitation that occurs prematurely and too often, and with insufficient intensity, resulting in recycling that is too large and a lifetime of moisture in the atmosphere that is too short, which affects runoff and soil moisture.",K. Trenberth,2011.0,,Geography,Climate Change
The impacts of climate change on water resources and agriculture in China,,"S. Piao, P. Ciais, Yao Huang, Zehao Shen, S. Peng, Junsheng Li, Liping Zhou, Hongyan Liu, Yuecun Ma, Yihui Ding, P. Friedlingstein, Chunzhen Liu, K. Tan, Yongqiang Yu, Tianyi Zhang, Jingyun Fang",2010.0,Nature,"Medicine, Geography",Climate Change
Climate Change and Drought: a Perspective on Drought Indices,,"S. Mukherjee, A. Mishra, K. Trenberth",2018.0,Current Climate Change Reports,Environmental Science,Climate Change
Climate change and evolutionary adaptation,,"A. Hoffmann, C. Sgrò",2011.0,Nature,"Biology, Medicine",Climate Change
Biochar in climate change mitigation,,"J. Lehmann, A. Cowie, C. Masiello, C. Kammann, Dominic Woolf, J. Amonette, M. Cayuela, M. Camps-Arbestain, T. Whitman",2018.0,Nature Geoscience,Environmental Science,Climate Change
Climate Change Impacts on Global Food Security,"Climate change could potentially interrupt progress toward a world without hunger. A robust and coherent global pattern is discernible of the impacts of climate change on crop productivity that could have consequences for food availability. The stability of whole food systems may be at risk under climate change because of short-term variability in supply. However, the potential impact is less clear at regional scales, but it is likely that climate variability and change will exacerbate food insecurity in areas currently vulnerable to hunger and undernutrition. Likewise, it can be anticipated that food access and utilization will be affected indirectly via collateral effects on household and individual incomes, and food utilization could be impaired by loss of access to drinking water and damage to health. The evidence supports the need for considerable investment in adaptation and mitigation actions toward a “climate-smart food system” that is more resilient to climate change influences on food security.","T. Wheeler, Joachim von Braun",2013.0,Science,"Business, Medicine",Climate Change
Estimating economic damage from climate change in the United States,"Costing out the effects of climate change Episodes of severe weather in the United States, such as the present abundance of rainfall in California, are brandished as tangible evidence of the future costs of current climate trends. Hsiang et al. collected national data documenting the responses in six economic sectors to short-term weather fluctuations. These data were integrated with probabilistic distributions from a set of global climate models and used to estimate future costs during the remainder of this century across a range of scenarios (see the Perspective by Pizer). In terms of overall effects on gross domestic product, the authors predict negative impacts in the southern United States and positive impacts in some parts of the Pacific Northwest and New England. Science, this issue p. 1362; see also p. 1330 One percent of gross domestic product per degree Celsius is a steep price to pay for climate change. Estimates of climate change damage are central to the design of climate policies. Here, we develop a flexible architecture for computing damages that integrates climate science, econometric analyses, and process models. We use this approach to construct spatially explicit, probabilistic, and empirically derived estimates of economic damage in the United States from climate change. The combined value of market and nonmarket damage across analyzed sectors—agriculture, crime, coastal storms, energy, human mortality, and labor—increases quadratically in global mean temperature, costing roughly 1.2% of gross domestic product per +1°C on average. Importantly, risk is distributed unequally across locations, generating a large transfer of value northward and westward that increases economic inequality. By the late 21st century, the poorest third of counties are projected to experience damages between 2 and 20% of county income (90% chance) under business-as-usual emissions (Representative Concentration Pathway 8.5).","S. Hsiang, Robert E Kopp, A. Jina, J. Rising, M. Delgado, Shashank Mohan, D. Rasmussen, R. Muir-Wood, P. Wilson, M. Oppenheimer, K. Larsen, Trevor Houser",2017.0,Science,"Medicine, Geography",Climate Change
Climate change impacts in Sub-Saharan Africa: from physical changes to their social repercussions,,"O. Serdeczny, Sophie Adams, Florent Baarsch, D. Coumou, A. Robinson, W. Hare, M. Schaeffer, M. Perrette, Julia Reinhardt",2017.0,Regional Environmental Change,Geography,Climate Change
Kyoto Protocol to the United Nations Framework Convention on Climate Change,"The Protocol shares the objective and institutions of the Convention. The major distinction between the two, however, is that while the Convention encouraged industrialized countries to stabilize GHG emissions, the Protocol commits them to do so. The detailed rules for its implementation were adopted at COP 7 in Marrakesh in 2001, and are called the "" Marrakesh Accords. "" The Protocol places a heavier burden on developed nations under the principle of "" common but differentiated responsibilities. "" The Kyoto Protocol entered into force on 16 February 2005. 192 Parties have ratified the treaty to date. Under the Protocol, 37 industrialized countries and the European Community have committed to reducing their emissions by an average of 5 percent against 1990 levels over the five-year period 2008-2012. For this group of countries, reductions of 11% are projected for the first Kyoto commitment period from 2008 to 2012, provided policies and measures planned by these countries are put in place (see Annex). These countries will also have to make use of the Protocol's "" flexible mechanisms "" in order to reach their collective emission reduction goal. Flexibility in meeting targets Emission targets for industrialized country Parties to the Kyoto Protocol are expressed as levels of allowed emissions, or "" assigned amounts "" , over the 2008-2012 commitment period. Such assigned amounts are denominated in tonnes (of CO2 equivalent emissions). Industrialized countries must first and foremost take domestic action against climate change, but the Protocol allows them a certain degree of flexibility in meeting their emission reduction commitments through three innovative market-based mechanisms. The Kyoto Mechanisms The three Kyoto mechanisms are: Emissions Trading – known as "" the carbon market "" – the Clean Development Mechanism (CDM) and Joint Implementation (JI). The carbon market spawned by these mechanisms is a key tool in reducing emissions worldwide. It was worth 30 billion USD in 2006 and is set to increase. JI and CDM are the two project-based mechanisms which feed the carbon market. JI enables industrialized countries to carry out joint implementation projects with other developed countries (usually countries with economies in transition), while the CDM involves investment in sustainable development projects that reduce emissions in developing countries. Since the beginning of 2006, the estimated potential of emission reductions to be",Unfccc,1997.0,,Environmental Science,Climate Change
"Climate change 2007 : impacts, adaptation and vulnerability : Working Group II contribution to the Fourth Assessment Report of the IPCC Intergovernmental Panel on Climate Change",,"T. Abeku, P. Abuodha, F. Adesina, N. Adger, J. Agard, P. Aggarwal, M. Agnew, Micheline Agoli-Agbo, S. Agrawala, W. Agricole, Q. Ahmad, R. Akhtar, Mozaharul Alam, J. Alcamo, A. Allali, J. Andrey, O. Anisimov, Yu. A. Anokhin, J. Antle, M. Araújo, J. Arblaster, N. Arnell, J. Asanuma, J. Atlhopheng, S. Attaher, S. Attri, W. Baethgen, M. Bao, C. Barlow, B. Bates, P. Batima, S. Becken, P. Beggs, M. Beniston, F. Berkhout, R. Betts, S. Bhadwal, Bonizella Biagini, M. Bindi, R. Black, M. Boko, W. Bond, L. Bounoua, K. Brander, A. Brenkert, L. Briguglio, A. Bristow, M. Brklacich, N. Brooks, Barbara Brown, S. Burch, V. Burkett, I. Burton, S. Cairncross, T. Callaghan, J. Canadell, O. Canziani, T. Carter, G. Casassa, D. Cayan, J. Ceron, L. Chambers, Netra Chhetri, T. Christensen, B. Clot, J. Codignotto, Stewart J. Cohen, Anthony M. Coleman, C. Conde, U. Confalonieri, J. Corfee-Morlot, R. Corobov, Isabelle Côté, P. Craig, J. Cranage, R. Cruz, David Choque, E. D. A. Alcaraz, J. Chazal, J. Ronde, M. Demuth, F. Denton, S. Clers, R. Devoy, O. Dikinya, A. Dlugolecki, P. Döll, T. Downing, P. Dube, G. Dubois, Matt Dunn, M. Dyurgerov, W. Easterling, K. Ebi, M. Edwards, S. Emori, Brennan Enright, F. Estrada, N. Estrella, P. Falloon, D. Fan, S. Fankhauser, C. Field, A. Finkel, A. Fischlin, B. Fitzharris, D. Forbes, J. Ford, B. Francou, C. Furgal, H. Füssel, C. Giannakopoulos, Simone Gigli, J. Giménez, A. Githeko, M. Githendu, B. Gopal, V. Gornitz, Stefan Gossling, P. Graham, D. Green, A. Guisan, D. Gyalistras, W. Haeberli, Simon Hales, J. Hall, S. Hallegatte, A. Hamlet, C. Hanson, H. Harasawa, N. Harvey, Maria Hauengue, J. Hay, D. Hemming, Roderick C. Henderson, K. Hennessy, A. Henshaw, K. Hilmi, A. Hobday, O. Hoegh‐Guldberg, Y. Honda, C. Hope, M. Howden, Terence Hughes, L. Hughes, S. Huq, G. Hutton, A. Iglesias, A. Imeson, S. Islam, M. Jafari, T. Janetos, E. Jeppesen, Simon Jetté-Nantel, B. Jimenez, Roger N. Jones, Gregory Jones, H. Ju, P. Kabat, L. Kajfez-Bogataj, M. Kandlikar, M. Kapshe, D. Karoly, G. Kaser, K. Keller, G. Kenny, W. Killmann, D. King, A. Kirilenko, T. Kjellstrom, R. Klein, C. Körner, P. Kovacs, S. Kovats, Z. Kundzewicz, P. Lakyda, M. Lal, Joseph Lam, R. Lasco, R. Leemans, P. Lefale, M. Lemos, N. Lewis, Shuang-cheng Li, Congxiang Li, T. Lien, E. Lin, Chunzhen Liu, D. Liverman, I. Lorenzoni, G. Love, J. Lowe, Xianfu Lu, W. Lucht, N. Lunn, Zhuguo Ma, Dena Mac Mynowski, T. Mader, C. Magadza, G. Magrin, D. Major, E. Malone, Susan Mann, H. Marchant, J. Marengo, A. Markandya, E. Martin, M. Mastrandrea, L. J. Mata, G. McGregor, K. McInnes, R. Mclean, L. Mearns, M. Medany, B. Menne, A. Menzel, G. Midgley, K. Miller, Scott Mills, E. Mills, N. Mimura, C. K. Minns, M. Mirza, A. Misselhorn, P. Morellato, A. Moreno, J. Moreno, J. Morton, L. Mortsch, S. Moser, T. Moulik, R. Muir-Wood, G. Nagy, T. Nakalevu, M. Nearing, R. Neilson, Frederick Nelson, Peter Neofotis, I. Niang, R. Nicholls, N. Ninh, C. Nobre, B. Nováky, L. Nurse, M. Nuttall, A. Nyong, K. O’Brien, B. O’Neill, Catherine O’Reilly, I. Obioh, A. Ogbonna, T. Oki, J. Olesen, M. Oppenheimer, B. Osman, H. N. Ouaga, G. Palmer, J. Palutikof, F. Parish, M. Parry, A. Patt, A. Patwardhan, J. Patz, R. Payet, T. Pearce, Martin Pêcheux, G. Penny, R. Perez, C. Pfeiffer, C. Pfister, B. Pittock, J. Price, T. Prowse, C. Prudhomme, J. Pulhin, R. Pulwarty, S. Ragoonaden, Atiq A. Rahman, Samuel Rawlins, T. Reeder, J. Reist, B. Revich, R. Richels, John Robinson, X. Rodó, R. Acevedo, P. R. Lankao, T. Root, George Rose, C. Rosenzweig, M. Rounsevell, S. Running, Kimmo Ruosteenoja, S. Rupp-Armstrong, D. Sailor, Y. Saito, J. Salinger, M. Saunders, J. Schmidhuber, S. Schneider, R. Schulze, M. Scott, D. Scott, R. Sedjo, B. Séguin, G. Sem, S. Semenov, Z. Şen, Ashok Sharma, I. Shiklomanov, A. Shreshtha, P. Shukla, A. Shvidenko, B. Smit, Kirk R. Smith, Joel Smith, W. Solecki, J. Soussana, T. Sparks, T. Spencer, J. Stone, K. Studd, Avelino G. Suarez, J. Sweeney, R. Tabo, Kiyoshi Takahashi, J. Tarazona, Anna Taylor, C. Tebaldi, R. Thayyen, M. Thomson, W. Thuiller, C. Tirado, A. Todorov, R. Tol, F. Tóth, M. Travasso, P. Tryjanowski, F. Tubiello, C. Turley, N. Giesen, J. Minnen, H. Schaik, D. Vuuren, J. Ypersele, J. Vandenberghe, D. Vaughan, A. Velichko, M. Vicarelli, H. Vilhjálmsson, A. Villamizar, Katherine M. Vincent, D. Viner, C. Vogel, John Walsh, J. Wandel, R. Warren, R. Warrick, R. Washington, P. Watkiss, E. Wiegandt, T. Wilbanks, R. Wilby, T. Wolf, J. Wolf, P. Wong, C. Woodroffe, R. Woodruff, A. Woodward, Fredrick Wrona, Qigang Wu, Shaohong Wu, F. Yamin, P. Yanda, G. Yohe, R. Zapata-Martí, Qiaomin Zhang, Gina Ziervogel, M. Zurek",2014.0,,Environmental Science,Climate Change
"Indigenous Climate Change Studies : Indigenizing Futures, Decolonizing the Anthropocene","Indigenous and allied scholars, knowledge keepers, scientists, learners, change-makers, and leaders are creating a field to support Indigenous peoples’ capacities to address anthropogenic (human-caused) climate change. Provisionally, I call it Indigenous climate change studies (Indigenous studies, for short, in this essay). The studies involve many types of work, including Indigenous climate resiliency plans, such as the Salish-Kootenai Tribe’s Climate Change Strategic Plan that includes sections on “Culture” and “Tribal Elder Observations,” policy documents, such as the Inuit Petition expressing “the right to be cold,” conferences, such as “Climate Changed: Reflections on Our Past, Present and Future Situation,” organized by the Indigenous Peoples Climate Change Working Group, and numerous declarations and academic papers, from the Mandaluyong Declaration of the Global Conference on Indigenous Women, Climate Change and REDD to a special issue of the scientific journal Climatic Change devoted to Indigenous peoples in the U.S. context.",K. Whyte,2017.0,,Geography,Climate Change
An Inconvenient Cost: The Effects of Climate Change on Municipal Bonds,"Abstract Counties more likely to be affected by climate change pay more in underwriting fees and initial yields to issue long-term municipal bonds compared to counties unlikely to be affected by climate change. This difference disappears when comparing short-term municipal bonds, implying the market prices climate change risks for long-term securities only. Higher issuance costs for climate risk counties are driven by bonds with lower credit ratings. Investor attention is a driving factor, as the difference in issuance costs on bonds issued by climate and nonclimate affected counties increases after the release of the 2006 Stern Review on climate change.",Marcus Painter,2018.0,Journal of Financial Economics,Economics,Climate Change
The Great Derangement: climate change and the unthinkable,"Like most literature about climate change and its implications, this book is a distressing reminder that without urgent, sustained, universal and drastic changes in human behaviour, luckless surviv...",Elizabeth Abbott,2017.0,,History,Climate Change
Meta-analyses of the determinants and outcomes of belief in climate change,,"M. Hornsey, Emily A. Harris, P. Bain, Kelly S. Fielding",2016.0,,Political Science,Climate Change
Climate Change and Drought: From Past to Future,,"B. Cook, J. Mankin, K. Anchukaitis",2018.0,Current Climate Change Reports,Geography,Climate Change
Inoculating the Public against Misinformation about Climate Change,"Effectively addressing climate change requires significant changes in individual and collective human behavior and decision‐making. Yet, in light of the increasing politicization of (climate) science, and the attempts of vested‐interest groups to undermine the scientific consensus on climate change through organized “disinformation campaigns,” identifying ways to effectively engage with the public about the issue across the political spectrum has proven difficult. A growing body of research suggests that one promising way to counteract the politicization of science is to convey the high level of normative agreement (“consensus”) among experts about the reality of human‐caused climate change. Yet, much prior research examining public opinion dynamics in the context of climate change has done so under conditions with limited external validity. Moreover, no research to date has examined how to protect the public from the spread of influential misinformation about climate change. The current research bridges this divide by exploring how people evaluate and process consensus cues in a polarized information environment. Furthermore, evidence is provided that it is possible to pre‐emptively protect (“inoculate”) public attitudes about climate change against real‐world misinformation.","S. van der Linden, A. Leiserowitz, S. Rosenthal, E. Maibach",2017.0,Global Challenges,"Medicine, Political Science",Climate Change
A global synthesis of animal phenological responses to climate change,,"Jeremy M. Cohen, M. Lajeunesse, Jason Rohr",2018.0,Nature Climate Change,Biology,Climate Change
Improving the forecast for biodiversity under climate change,"BACKGROUND As global climate change accelerates, one of the most urgent tasks for the coming decades is to develop accurate predictions about biological responses to guide the effective protection of biodiversity. Predictive models in biology provide a means for scientists to project changes to species and ecosystems in response to disturbances such as climate change. Most current predictive models, however, exclude important biological mechanisms such as demography, dispersal, evolution, and species interactions. These biological mechanisms have been shown to be important in mediating past and present responses to climate change. Thus, current modeling efforts do not provide sufficiently accurate predictions. Despite the many complexities involved, biologists are rapidly developing tools that include the key biological processes needed to improve predictive accuracy. The biggest obstacle to applying these more realistic models is that the data needed to inform them are almost always missing. We suggest ways to fill this growing gap between model sophistication and information to predict and prevent the most damaging aspects of climate change for life on Earth. ADVANCES On the basis of empirical and theoretical evidence, we identify six biological mechanisms that commonly shape responses to climate change yet are too often missing from current predictive models: physiology; demography, life history, and phenology; species interactions; evolutionary potential and population differentiation; dispersal, colonization, and range dynamics; and responses to environmental variation. We prioritize the types of information needed to inform each of these mechanisms and suggest proxies for data that are missing or difficult to collect. We show that even for well-studied species, we often lack critical information that would be necessary to apply more realistic, mechanistic models. Consequently, data limitations likely override the potential gains in accuracy of more realistic models. Given the enormous challenge of collecting this detailed information on millions of species around the world, we highlight practical methods that promote the greatest gains in predictive accuracy. Trait-based approaches leverage sparse data to make more general inferences about unstudied species. Targeting species with high climate sensitivity and disproportionate ecological impact can yield important insights about future ecosystem change. Adaptive modeling schemes provide a means to target the most important data while simultaneously improving predictive accuracy. OUTLOOK Strategic collections of essential biological information will allow us to build generalizable insights that inform our broader ability to anticipate species’ responses to climate change and other human-caused disturbances. By increasing accuracy and making uncertainties explicit, scientists can deliver improved projections for biodiversity under climate change together with characterizations of uncertainty to support more informed decisions by policymakers and land managers. Toward this end, a globally coordinated effort to fill data gaps in advance of the growing climate-fueled biodiversity crisis offers substantial advantages in efficiency, coverage, and accuracy. Biologists can take advantage of the lessons learned from the Intergovernmental Panel on Climate Change’s development, coordination, and integration of climate change projections. Climate and weather projections were greatly improved by incorporating important mechanisms and testing predictions against global weather station data. Biology can do the same. We need to adopt this meteorological approach to predicting biological responses to climate change to enhance our ability to mitigate future changes to global biodiversity and the services it provides to humans. Emerging models are beginning to incorporate six key biological mechanisms that can improve predictions of biological responses to climate change. Models that include biological mechanisms have been used to project (clockwise from top) the evolution of disease-harboring mosquitoes, future environments and land use, physiological responses of invasive species such as cane toads, demographic responses of penguins to future climates, climate-dependent dispersal behavior in butterflies, and mismatched interactions between butterflies and their host plants. Despite these modeling advances, we seldom have the detailed data needed to build these models, necessitating new efforts to collect the relevant data to parameterize more biologically realistic predictive models. New biological models are incorporating the realistic processes underlying biological responses to climate change and other human-caused disturbances. However, these more realistic models require detailed information, which is lacking for most species on Earth. Current monitoring efforts mainly document changes in biodiversity, rather than collecting the mechanistic data needed to predict future changes. We describe and prioritize the biological information needed to inform more realistic projections of species’ responses to climate change. We also highlight how trait-based approaches and adaptive modeling can leverage sparse data to make broader predictions. We outline a global effort to collect the data necessary to better understand, anticipate, and reduce the damaging effects of climate change on biodiversity.","M. C. Urban, Greta Bocedi, A. Hendry, J. Mihoub, J. Mihoub, G. Pe’er, A. Singer, A. Singer, J. Bridle, L. Crozier, L. Meester, W. Godsoe, A. González, J. Hellmann, R. Holt, A. Huth, A. Huth, K. Johst, C. Krug, P. Leadley, S. Palmer, J. Pantel, A. Schmitz, Patrick A. Zollner, J. Travis",2016.0,Science,"Biology, Medicine",Climate Change
Blocking and its Response to Climate Change,,"T. Woollings, D. Barriopedro, J. Methven, S. Son, O. Martius, B. Harvey, J. Sillmann, A. Lupo, S. Seneviratne",2018.0,Current Climate Change Reports,"Medicine, Computer Science",Climate Change
Risk of increased food insecurity under stringent global climate change mitigation policy,,"T. Hasegawa, S. Fujimori, P. Havlík, H. Valin, B. Bodirsky, J. Doelman, T. Fellmann, P. Kyle, Jason F. L. Koopman, H. Lotze-Campen, D. Mason-D’Croz, Y. Ochi, Ignacio Pérez Domínguez, E. Stehfest, T. Sulser, A. Tabeau, Kiyoshi Takahashi, Jun’ya Takakura, H. van Meijl, Willem-Jan van Zeist, K. Wiebe, Peter Witzke",2018.0,Nature Climate Change,Business,Climate Change
"Climate change and livestock: Impacts, adaptation, and mitigation",,"M. M. Rojas-Downing, A. Nejadhashemi, T. Harrigan, S. Woznicki",2017.0,,Business,Climate Change
Climate change impacts on marine ecosystems.,"In marine ecosystems, rising atmospheric CO2 and climate change are associated with concurrent shifts in temperature, circulation, stratification, nutrient input, oxygen content, and ocean acidification, with potentially wide-ranging biological effects. Population-level shifts are occurring because of physiological intolerance to new environments, altered dispersal patterns, and changes in species interactions. Together with local climate-driven invasion and extinction, these processes result in altered community structure and diversity, including possible emergence of novel ecosystems. Impacts are particularly striking for the poles and the tropics, because of the sensitivity of polar ecosystems to sea-ice retreat and poleward species migrations as well as the sensitivity of coral-algal symbiosis to minor increases in temperature. Midlatitude upwelling systems, like the California Current, exhibit strong linkages between climate and species distributions, phenology, and demography. Aggregated effects may modify energy and material flows as well as biogeochemical cycles, eventually impacting the overall ecosystem functioning and services upon which people and societies depend.","S. Doney, M. Ruckelshaus, J. Emmett Duffy, J. Barry, Francis Chan, C. English, H. M. Galindo, J. Grebmeier, A. Hollowed, N. Knowlton, J. Polovina, N. Rabalais, W. Sydeman, L. Talley",2012.0,Annual Review of Marine Science,"Environmental Science, Medicine",Climate Change
A new scenario framework for climate change research: the concept of shared socioeconomic pathways,,"B. O’Neill, E. Kriegler, K. Riahi, K. Ebi, S. Hallegatte, T. Carter, R. Mathur, D. P. Vuuren",2013.0,Climatic Change,Computer Science,Climate Change
Climate Change 2014 : Synthesis Report,"are between 70–95% below 2010 emissions, and they are between 110–120% below 2010 emissions in 2100.","R. Pachauri, M. Allen, J. Minx",2014.0,,Environmental Science,Climate Change
A meta-analysis of crop yield under climate change and adaptation,,"A. Challinor, J. Watson, D. Lobell, S. Howden, Daniel R. Smith, Netra Chhetri",2014.0,,Environmental Science,Climate Change
Analysis and valuation of the health and climate change cobenefits of dietary change,"Significance The food system is responsible for more than a quarter of all greenhouse gas emissions while unhealthy diets and high body weight are among the greatest contributors to premature mortality. Our study provides a comparative analysis of the health and climate change benefits of global dietary changes for all major world regions. We project that health and climate change benefits will both be greater the lower the fraction of animal-sourced foods in our diets. Three quarters of all benefits occur in developing countries although the per capita impacts of dietary change would be greatest in developed countries. The monetized value of health improvements could be comparable with, and possibly larger than, the environmental benefits of the avoided damages from climate change. What we eat greatly influences our personal health and the environment we all share. Recent analyses have highlighted the likely dual health and environmental benefits of reducing the fraction of animal-sourced foods in our diets. Here, we couple for the first time, to our knowledge, a region-specific global health model based on dietary and weight-related risk factors with emissions accounting and economic valuation modules to quantify the linked health and environmental consequences of dietary changes. We find that the impacts of dietary changes toward less meat and more plant-based diets vary greatly among regions. The largest absolute environmental and health benefits result from diet shifts in developing countries whereas Western high-income and middle-income countries gain most in per capita terms. Transitioning toward more plant-based diets that are in line with standard dietary guidelines could reduce global mortality by 6–10% and food-related greenhouse gas emissions by 29–70% compared with a reference scenario in 2050. We find that the monetized value of the improvements in health would be comparable with, or exceed, the value of the environmental benefits although the exact valuation method used considerably affects the estimated amounts. Overall, we estimate the economic benefits of improving diets to be 1–31 trillion US dollars, which is equivalent to 0.4–13% of global gross domestic product (GDP) in 2050. However, significant changes in the global food system would be necessary for regional diets to match the dietary patterns studied here.","M. Springmann, H. Godfray, M. Rayner, P. Scarborough",2016.0,Proceedings of the National Academy of Sciences of the United States of America,"Medicine, Geography",Climate Change
"Climate change 2014: impacts, adaptation, and vulnerability - Part B: regional aspects - Contribution of Working Group II to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change","ion and from groundwater resources (medium confidence), in the context of increased demand (from agriculture, energy and industry, and domestic use) and cross-sectoral implications that are not fully understood. {23.4.3, 23.9.1} Some adaptation is possible through uptake of more water-efficient technologies and water-saving strategies. {23.4.3, 23.7.2} Climate change will change the geographic distribution of wine grape varieties (high confidence) and this will reduce the value of wine products and the livelihoods of local wine communities in Southern and Continental Europe (medium confidence) and increase production in Northern Europe (low confidence). {23.4.1, 23.3.5, 23.5.4; Box 23-2} Some adaptation is possible through technologies and good practice. {Box 23-2} Climate warming will increase forest productivity in Northern Europe (medium confidence), {23.4.4} although damage from pests and diseases in all sub-regions will increase due to climate change (high confidence). {23.4.4} Wildfire risk in Southern Europe (high confidence) and damages from storms in Central Europe (low confidence) may also increase due to climate change. {23.4.4} Climate change is likely to cause ecological and socioeconomic damages from shifts in forest tree species range (from southwest to northeast) (medium confidence), and in pest species distributions (low confidence). {23.4.4} Forest management measures can enhance ecosystem resilience (medium confidence).","V. Barros, C. Field, D. J. Dokke, M. Mastrandrea, K. Mach, T. E. Bilir, M. Chatterjee, K. Ebi, Y. Estrada, R. Genova, B. Girma, E. Kissel, A. Levy, S. Maccracken, P. Mastrandrea, L. White",2014.0,,Geography,Climate Change
The interaction of climate change and methane hydrates,"Gas hydrate, a frozen, naturally‐occurring, and highly‐concentrated form of methane, sequesters significant carbon in the global system and is stable only over a range of low‐temperature and moderate‐pressure conditions. Gas hydrate is widespread in the sediments of marine continental margins and permafrost areas, locations where ocean and atmospheric warming may perturb the hydrate stability field and lead to release of the sequestered methane into the overlying sediments and soils. Methane and methane‐derived carbon that escape from sediments and soils and reach the atmosphere could exacerbate greenhouse warming. The synergy between warming climate and gas hydrate dissociation feeds a popular perception that global warming could drive catastrophic methane releases from the contemporary gas hydrate reservoir. Appropriate evaluation of the two sides of the climate‐methane hydrate synergy requires assessing direct and indirect observational data related to gas hydrate dissociation phenomena and numerical models that track the interaction of gas hydrates/methane with the ocean and/or atmosphere. Methane hydrate is likely undergoing dissociation now on global upper continental slopes and on continental shelves that ring the Arctic Ocean. Many factors—the depth of the gas hydrates in sediments, strong sediment and water column sinks, and the inability of bubbles emitted at the seafloor to deliver methane to the sea‐air interface in most cases—mitigate the impact of gas hydrate dissociation on atmospheric greenhouse gas concentrations though. There is no conclusive proof that hydrate‐derived methane is reaching the atmosphere now, but more observational data and improved numerical models will better characterize the climate‐hydrate synergy in the future.","C. Ruppel, J. Kessler",2017.0,,"Environmental Science, Geology",Climate Change
